LdSpp,density,site_q,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Deciduous,High,Good,Deciduous,0.0,7.06512568405375e-05,0.000141302513681075,0.175586697858492,0.351032093203303,4.336435128340776,8.32183816347825,22.952375606258475,37.5829130490387,56.0786361107952,74.5743591725517,89.56221118618885,104.550063199826,115.31711043598,126.084157672134,133.457145391418,140.830133110702,145.597127025131,150.36412093956,153.1413046316925,155.918488323825
Deciduous,High,Medium,Deciduous,0.0,2.28081015164917e-07,4.56162030329834e-07,0.006451418125860065,0.0129023800896898,0.3243584608194134,0.635814541549137,3.1549687312862735,5.67412292102341,13.172353138070706,20.670583355118,31.765517911675204,42.8604524682324,53.4872317953143,64.1140111223962,72.30516263107086,80.4963141397455,86.1831935719778,91.8700730042101,95.5235591409454,99.1770452776807
Deciduous,High,Poor,Deciduous,0.0,1.14131408310396e-10,2.28262816620792e-10,0.00010951140315775931,0.000219022578052702,0.014522844048763502,0.0288266655194743,0.22132586146828567,0.413825057417097,1.3684652920181786,2.32310552661926,4.913840190682605,7.50457485474595,12.022310802275575,16.5400467498052,22.1465068816531,27.752967013501,33.183932949657,38.614898885813,43.04832178897575,47.4817446921385
Deciduous,Low,Good,Deciduous,0.0,0.000450497423136378,0.000900994846272756,0.8163864121338064,1.63187182942134,10.06982873755022,18.5077856456791,32.05570244024575,45.6036192348124,57.8943733366379,70.1851274384634,79.98686180485126,89.7885961712391,97.07504479629605,104.361493421353,109.3822023341,114.402911246847,117.50448684390949,120.606062440972,122.1449538862405,123.683845331509
Deciduous,Low,Medium,Deciduous,0.0,5.08600513533365e-07,1.01720102706673e-06,0.017825953547005835,0.0356508898929846,0.8113168197851423,1.5869827496773,5.71944307343011,9.85190339718292,17.17259307322221,24.4932827492615,32.060525980718246,39.627769212175,45.8925114392291,52.1572536662832,56.81958144705909,61.481909227835,64.65969060096695,67.8374719740989,69.74722760095455,71.6569832278102
Deciduous,Low,Poor,Deciduous,0.0,1.114517950389015e-09,2.22903590077803e-09,0.0005640368729675104,0.00112807151689912,0.06763166544281056,0.134135259368722,0.834111247526161,1.5340872356836,3.87364078183443,6.21319432798526,10.16714735187023,14.1211003757552,18.57094112123275,23.0207818667103,26.9951239026688,30.9694659386273,34.0496148268618,37.1297637150963,39.24849546135535,41.3672272076144
Mixed Wood,High,Good,Mixed Wood,0.0,5.76052145371715e-05,0.000115210429074343,0.09530802707004267,0.190500843711011,2.578838008662571,4.96717517361413,15.761142398678265,26.5551096237424,45.0143023193865,63.4734950150306,83.5012340227343,103.528973030438,121.640295426087,139.751617821736,154.729043826949,169.706469832162,181.37873575180902,193.051001671456,201.7217268043435,210.392451937231
Mixed Wood,High,Medium,Mixed Wood,0.0,2.71882622856073e-07,5.43765245712146e-07,0.004013453692928431,0.00802636362061115,0.22953249353164307,0.451038623442675,2.5320378285468776,4.61303703365108,11.43823996381579,18.2634428939805,29.650447392905598,41.0374518918307,53.91013873194185,66.782825572053,78.6575883181667,90.5323510642804,100.38250949386321,110.232667923446,117.907448832164,125.582229740882
Mixed Wood,High,Poor,Mixed Wood,0.0,2.386889906987885e-10,4.77377981397577e-10,8.749433611103271e-05,0.000174988194844084,0.013294941827104442,0.0264148954593648,0.2672339578016094,0.508053020143854,1.847401255744087,3.18674949134432,6.677202164310961,10.1676548372776,15.8059017053037,21.4441485733298,28.2222935229115,35.0004384724932,41.775174478649404,48.5499104848056,54.5612760125036,60.5726415402016
Mixed Wood,Low,Good,Mixed Wood,0.0,0.0002571008949727455,0.000514201789945491,0.3576414926383273,0.714768783486709,5.612003135338555,10.5092374871904,21.49772536619095,32.4862132451915,45.84632383226405,59.2064344193366,72.4954688161058,85.784503212875,97.59007487637601,109.395646539877,119.02052423770999,128.645401935543,135.93486459135,143.224327247157,148.35088746770248,153.477447688248
Mixed Wood,Low,Medium,Mixed Wood,0.0,1.07989819342392e-06,2.15979638684784e-06,0.014118098049274873,0.0282340363021629,0.6778592007408465,1.32748436517953,5.22204798423116,9.11661160328279,16.815834157849846,24.5150567124169,33.5824679077274,42.6498791030379,51.2892167818344,59.9285544606309,67.31533211663366,74.7021097726364,80.55290150761081,86.4036932425852,90.7278490174449,95.0520047923046
Mixed Wood,Low,Poor,Mixed Wood,0.0,2.37122870644115e-09,4.7424574128823e-09,0.00044362130139992894,0.000887237860342445,0.054488140099195226,0.108089042338048,0.837809207153824,1.5675293719696,4.3565892785278,7.145649185086,12.07686889245795,17.0080885998299,22.7801044443108,28.5521202887917,34.0291059427693,39.5060915967469,44.1214958414794,48.7369000862119,52.312417334701095,55.8879345831903
